model_target,rank,feature,importance
priority_score_target_Random Forest Regressor,15,inspection_image_available,0.00146
maintenance_duration_hours_target_Ridge Regression,1,defect_severity_ord,0.98305
maintenance_duration_hours_target_Ridge Regression,2,state_Goa,0.68934
maintenance_duration_hours_target_Ridge Regression,3,state_Uttarakhand,0.62963
maintenance_duration_hours_target_Ridge Regression,4,state_Tripura,0.58126
maintenance_duration_hours_target_Ridge Regression,5,state_Delhi,0.46811
maintenance_duration_hours_target_Ridge Regression,6,asset_type_Traction Substation,0.42494
maintenance_duration_hours_target_Ridge Regression,7,safety_function_traction power supply,0.42494
maintenance_duration_hours_target_Ridge Regression,8,defect_type_DGA anomaly,0.40693
maintenance_duration_hours_target_Ridge Regression,9,state_Puducherry,0.40395
maintenance_duration_hours_target_Ridge Regression,10,zone_CR,0.40226
maintenance_duration_hours_target_Ridge Regression,11,zone_SR,0.3915
maintenance_duration_hours_target_Ridge Regression,12,zone_SECR,0.39007
maintenance_duration_hours_target_Ridge Regression,13,state_Chhattisgarh,0.37874
maintenance_duration_hours_target_Ridge Regression,14,state_Kerala,0.36668
maintenance_duration_hours_target_Ridge Regression,15,state_Maharashtra,0.35668
maintenance_duration_hours_target_Random Forest Regressor,1,defect_severity_ord,0.31909
maintenance_duration_hours_target_Random Forest Regressor,2,department_S&T,0.10638
maintenance_duration_hours_target_Random Forest Regressor,3,traffic_impact_ratio,0.05156
maintenance_duration_hours_target_Random Forest Regressor,4,defect_duration_days,0.05021
maintenance_duration_hours_target_Random Forest Regressor,5,asset_age_years,0.04512
maintenance_duration_hours_target_Random Forest Regressor,6,asset_criticality_score,0.03297
maintenance_duration_hours_target_Random Forest Regressor,7,days_since_last_maintenance,0.03108
maintenance_duration_hours_target_Random Forest Regressor,8,maintenance_overdue_ratio,0.02718
maintenance_duration_hours_target_Random Forest Regressor,9,operational_impact_score,0.02706
maintenance_duration_hours_target_Random Forest Regressor,10,affected_services_if_blocked,0.02467
maintenance_duration_hours_target_Random Forest Regressor,11,maintenance_overdue_days,0.02178
maintenance_duration_hours_target_Random Forest Regressor,12,network_neighbor_degree,0.01388
maintenance_duration_hours_target_Random Forest Regressor,13,scheduled_services_count_proxy,0.01332
maintenance_duration_hours_target_Random Forest Regressor,14,traffic_percentile,0.01317
maintenance_duration_hours_target_Random Forest Regressor,15,maintenance_interval_days,0.01279
