task_id,failure_within_30d_target,maintenance_duration_hours_target,priority_score_target,priority_class_target,block_required_target
EVT-0000311,False,6.12,41,MEDIUM,False
EVT-0000312,False,6.11,45,MEDIUM,True
EVT-0000313,False,4.97,43,MEDIUM,False
EVT-0000314,False,4.58,46,MEDIUM,False
EVT-0000315,True,2.05,42,MEDIUM,False
EVT-0000316,False,6.07,31,MEDIUM,True
EVT-0000317,False,4.33,29,LOW,False
EVT-0000318,False,4.49,27,LOW,False
EVT-0000319,False,4.87,53,HIGH,True
EVT-0000320,True,2.9,49,MEDIUM,False
EVT-0000321,False,4.06,34,MEDIUM,False
EVT-0000322,True,2.95,58,HIGH,False
EVT-0000323,False,3.32,42,MEDIUM,False
EVT-0000324,False,6.76,41,MEDIUM,False
EVT-0000325,True,5.88,38,MEDIUM,False
EVT-0000326,False,3.65,18,LOW,False
EVT-0000327,True,5.21,59,HIGH,True
EVT-0000328,False,7.17,52,HIGH,True
EVT-0000329,False,5.02,27,LOW,False
EVT-0000330,False,8.07,40,MEDIUM,False
EVT-0000331,False,3.53,34,MEDIUM,False
EVT-0000332,True,4.87,42,MEDIUM,False
EVT-0000333,False,6.28,48,MEDIUM,True
EVT-0000334,False,5.74,31,MEDIUM,False
EVT-0000335,False,7.73,47,MEDIUM,True
EVT-0000336,False,5.59,36,MEDIUM,False
EVT-0000337,True,4.08,41,MEDIUM,False
EVT-0000338,False,3.49,41,MEDIUM,False
EVT-0000339,False,6.51,54,HIGH,False
EVT-0000340,False,5.5,39,MEDIUM,False
EVT-0000341,False,4.88,20,LOW,False
EVT-0000342,False,6.95,48,MEDIUM,False
EVT-0000343,True,8.27,43,MEDIUM,True
EVT-0000344,False,3.48,34,MEDIUM,False
EVT-0000345,False,4.92,31,MEDIUM,False
EVT-0000346,True,6.29,62,HIGH,True
EVT-0000347,False,7.38,56,HIGH,True
EVT-0000348,False,4.41,39,MEDIUM,False
EVT-0000349,False,5.2,39,MEDIUM,False
EVT-0000350,False,1.21,39,MEDIUM,False
EVT-0000351,False,4.26,27,LOW,False
EVT-0000352,False,6.18,28,LOW,False
EVT-0000353,False,6.44,34,MEDIUM,False
EVT-0000354,False,6.07,15,LOW,False
EVT-0000355,False,3.39,49,MEDIUM,False
EVT-0000356,False,8.12,38,MEDIUM,False
EVT-0000357,False,3.46,33,MEDIUM,False
EVT-0000358,True,3.55,29,LOW,False
EVT-0000359,False,6.6,40,MEDIUM,True
EVT-0000360,False,2.14,15,LOW,False
EVT-0000361,True,4.03,51,HIGH,False
EVT-0000362,False,5.91,32,MEDIUM,False
EVT-0000363,False,6.11,46,MEDIUM,False
EVT-0000364,False,2.61,22,LOW,True
EVT-0000365,True,4.82,75,CRITICAL,True
EVT-0000366,True,7.33,39,MEDIUM,False
EVT-0000367,False,4.9,34,MEDIUM,False
EVT-0000368,False,5.29,28,LOW,False
EVT-0000369,False,6.74,47,MEDIUM,True
EVT-0000370,True,4.15,60,HIGH,True
EVT-0000371,False,3.33,40,MEDIUM,False
EVT-0000372,False,7.34,35,MEDIUM,False
EVT-0000373,False,3.33,33,MEDIUM,True
EVT-0000374,False,4.5,22,LOW,False
EVT-0000375,False,6.66,36,MEDIUM,False
EVT-0000376,False,6.84,74,CRITICAL,True
EVT-0000377,True,5.45,45,MEDIUM,False
EVT-0000378,False,7.63,49,MEDIUM,False
EVT-0000379,False,5.65,21,LOW,False
EVT-0000380,False,6.12,42,MEDIUM,False
EVT-0000381,False,6.56,32,MEDIUM,False
EVT-0000382,False,4.36,48,MEDIUM,False
EVT-0000383,False,2.7,41,MEDIUM,False
EVT-0000384,False,6.18,26,LOW,False
EVT-0000385,False,6.23,42,MEDIUM,False
EVT-0000386,False,3.08,11,LOW,False
EVT-0000387,False,5.54,26,LOW,False
EVT-0000388,False,5.37,41,MEDIUM,False
EVT-0000389,False,4.06,46,MEDIUM,True
EVT-0000390,True,1.94,45,MEDIUM,False
EVT-0000391,False,4.59,38,MEDIUM,False
EVT-0000392,True,3.31,47,MEDIUM,False
EVT-0000393,False,5.06,46,MEDIUM,False
EVT-0000394,True,5.56,66,HIGH,True
EVT-0000395,False,4.9,13,LOW,False
EVT-0000396,False,4.96,27,LOW,False
EVT-0000397,False,5.41,45,MEDIUM,False
EVT-0000398,False,7.36,43,MEDIUM,True
EVT-0000399,False,4.44,27,LOW,False
EVT-0000400,False,3.75,30,MEDIUM,False
EVT-0000401,False,5.26,40,MEDIUM,False
EVT-0000402,False,3.44,12,LOW,False
EVT-0000403,True,4.36,64,HIGH,False
EVT-0000404,False,4.05,30,MEDIUM,False
EVT-0000405,True,4.57,63,HIGH,False
EVT-0000406,False,5.7,51,HIGH,False
EVT-0000407,False,3.06,12,LOW,False
EVT-0000408,False,5.99,25,LOW,False
EVT-0000409,False,5.35,45,MEDIUM,True
EVT-0000410,False,4.08,39,MEDIUM,False
EVT-0000411,False,5.83,35,MEDIUM,False
EVT-0000412,False,2.79,47,MEDIUM,True
EVT-0000413,False,1.72,53,HIGH,True
EVT-0000414,True,4.35,44,MEDIUM,False
EVT-0000415,False,3.81,36,MEDIUM,False
EVT-0000416,False,2.67,46,MEDIUM,False
EVT-0000417,True,7.85,51,HIGH,True
EVT-0000418,True,2.29,46,MEDIUM,False
EVT-0000419,False,6.06,40,MEDIUM,True
EVT-0000420,False,3.12,36,MEDIUM,False
EVT-0000421,False,5.62,30,MEDIUM,False
EVT-0000422,True,9.97,60,HIGH,False
EVT-0000423,False,4.79,39,MEDIUM,False
EVT-0000424,False,4.72,38,MEDIUM,False
EVT-0000425,True,4.57,21,LOW,False
EVT-0000426,True,4.22,50,HIGH,False
EVT-0000427,False,3.4,25,LOW,False
EVT-0000428,False,3.81,45,MEDIUM,False
EVT-0000429,True,4.57,47,MEDIUM,False
EVT-0000430,True,7.87,60,HIGH,True
EVT-0000431,False,5.54,38,MEDIUM,True
EVT-0000432,False,6.47,46,MEDIUM,False
EVT-0000433,True,5.74,44,MEDIUM,True
EVT-0000434,False,3.28,35,MEDIUM,True
EVT-0000435,False,5.52,34,MEDIUM,False
EVT-0000436,False,6.5,28,LOW,False
EVT-0000437,False,6.97,20,LOW,False
EVT-0000438,False,3.31,29,LOW,False
EVT-0000439,False,3.88,32,MEDIUM,False
EVT-0000440,False,5.09,45,MEDIUM,False
EVT-0000441,False,4.31,18,LOW,False
EVT-0000442,False,3.68,13,LOW,False
EVT-0000443,False,5.59,54,HIGH,False
EVT-0000444,False,1.45,30,MEDIUM,True
EVT-0000445,True,2.48,35,MEDIUM,False
EVT-0000446,False,4.37,41,MEDIUM,False
EVT-0000447,False,5.68,51,HIGH,False
EVT-0000448,False,2.15,15,LOW,False
EVT-0000449,False,2.11,32,MEDIUM,False
EVT-0000450,False,4.77,53,HIGH,False
EVT-0000451,False,5.65,41,MEDIUM,False
EVT-0000452,False,5.76,28,LOW,False
EVT-0000453,False,4.34,25,LOW,False
EVT-0000454,True,1.19,25,LOW,False
EVT-0000455,False,1.14,37,MEDIUM,False
EVT-0000456,False,3.84,25,LOW,False
EVT-0000457,False,5.9,42,MEDIUM,False
EVT-0000458,True,4.91,17,LOW,False
EVT-0000459,False,5.4,24,LOW,False
EVT-0000460,False,5.08,61,HIGH,True
EVT-0000461,False,6.4,39,MEDIUM,False
EVT-0000462,False,2.41,34,MEDIUM,False
EVT-0000463,False,2.22,20,LOW,False
EVT-0000464,True,5.27,38,MEDIUM,False
EVT-0000465,False,6.9,42,MEDIUM,False
EVT-0000466,False,2.85,21,LOW,False
EVT-0000467,False,3.25,37,MEDIUM,True
EVT-0000468,False,4.91,29,LOW,False
EVT-0000469,False,3.67,26,LOW,False
EVT-0000470,True,4.05,52,HIGH,False
EVT-0000471,False,5.2,49,MEDIUM,False
EVT-0000472,False,5.43,39,MEDIUM,False
EVT-0000473,False,3.43,37,MEDIUM,False
EVT-0000474,True,6.87,45,MEDIUM,True
EVT-0000475,False,3.62,34,MEDIUM,False
EVT-0000476,False,3.4,21,LOW,False
EVT-0000477,False,6.36,33,MEDIUM,False
EVT-0000478,False,3.59,32,MEDIUM,False
EVT-0000479,False,6.4,46,MEDIUM,False
EVT-0000480,False,6.28,61,HIGH,True
EVT-0000481,False,7.08,33,MEDIUM,False
EVT-0000482,False,5.78,33,MEDIUM,False
EVT-0000483,False,3.13,24,LOW,False
EVT-0000484,True,7.42,39,MEDIUM,False
EVT-0000485,True,6.42,44,MEDIUM,False
EVT-0000486,False,5.77,39,MEDIUM,False
EVT-0000487,False,3.35,40,MEDIUM,False
EVT-0000488,False,6.25,42,MEDIUM,True
EVT-0000489,False,2.47,33,MEDIUM,False
EVT-0000490,False,2.95,15,LOW,False
EVT-0000491,False,7.81,46,MEDIUM,True
EVT-0000492,False,4.28,17,LOW,False
EVT-0000493,False,4.36,45,MEDIUM,False
EVT-0000494,False,4.74,50,HIGH,True
EVT-0000495,True,8.04,66,HIGH,True
EVT-0000496,False,3.86,42,MEDIUM,False
EVT-0000497,False,4.64,66,HIGH,True
EVT-0000498,True,5.87,70,HIGH,True
EVT-0000499,False,5.35,43,MEDIUM,True
EVT-0000500,False,5.64,31,MEDIUM,False
EVT-0000501,False,3.14,37,MEDIUM,False
EVT-0000502,False,3.91,40,MEDIUM,True
EVT-0000503,False,3.72,12,LOW,False
EVT-0000504,True,5.0,54,HIGH,False
EVT-0000505,False,6.44,27,LOW,False
EVT-0000506,False,4.79,39,MEDIUM,True
EVT-0000507,False,6.29,45,MEDIUM,True
EVT-0000508,False,4.79,26,LOW,False
EVT-0000509,False,5.24,26,LOW,False
EVT-0000510,False,3.45,19,LOW,False
EVT-0000511,False,5.4,37,MEDIUM,False
EVT-0000512,False,2.89,22,LOW,False
EVT-0000513,True,5.96,63,HIGH,False
EVT-0000514,False,3.25,30,MEDIUM,True
EVT-0000515,False,2.85,8,LOW,False
EVT-0000516,False,4.8,29,LOW,False
EVT-0000517,False,5.84,33,MEDIUM,False
EVT-0000518,False,4.59,29,LOW,False
EVT-0000519,True,7.34,53,HIGH,False
EVT-0000520,False,4.91,51,HIGH,True
EVT-0000521,False,4.08,21,LOW,False
EVT-0000522,False,3.95,22,LOW,False
EVT-0000523,False,2.01,26,LOW,False
EVT-0000524,False,8.96,51,HIGH,False
EVT-0000525,True,3.47,56,HIGH,True
EVT-0000526,False,7.24,42,MEDIUM,False
EVT-0000527,False,8.79,62,HIGH,True
EVT-0000528,False,4.06,36,MEDIUM,False
EVT-0000529,False,4.48,36,MEDIUM,False
EVT-0000530,False,3.54,36,MEDIUM,False
EVT-0000531,True,5.74,74,CRITICAL,True
EVT-0000532,False,3.56,24,LOW,False
EVT-0000533,True,3.91,26,LOW,False
EVT-0000534,False,4.17,31,MEDIUM,False
EVT-0000535,False,6.11,68,HIGH,True
EVT-0000536,False,3.49,41,MEDIUM,False
EVT-0000537,False,4.71,30,MEDIUM,False
EVT-0000538,False,3.06,30,MEDIUM,False
EVT-0000539,False,4.18,28,LOW,False
EVT-0000540,False,4.85,51,HIGH,True
EVT-0000541,False,3.78,30,MEDIUM,False
EVT-0000542,False,2.89,35,MEDIUM,False
EVT-0000543,False,4.63,49,MEDIUM,False
EVT-0000544,False,4.32,29,LOW,False
EVT-0000545,False,4.31,30,MEDIUM,False
EVT-0000546,False,5.99,50,HIGH,False
EVT-0000547,True,5.03,45,MEDIUM,True
EVT-0000548,False,2.89,30,MEDIUM,False
EVT-0000549,True,6.46,36,MEDIUM,False
EVT-0000550,False,4.48,31,MEDIUM,False
EVT-0000551,False,6.6,35,MEDIUM,False
EVT-0000552,False,3.33,40,MEDIUM,False
EVT-0000553,False,4.11,30,MEDIUM,False
EVT-0000554,False,4.81,29,LOW,False
EVT-0000555,False,2.46,27,LOW,True
EVT-0000556,False,5.08,57,HIGH,True
EVT-0000557,False,3.46,25,LOW,False
EVT-0000558,False,8.11,48,MEDIUM,False
EVT-0000559,False,4.1,23,LOW,False
EVT-0000560,False,5.01,39,MEDIUM,False
EVT-0000561,False,5.52,31,MEDIUM,False
EVT-0000562,True,6.91,37,MEDIUM,False
EVT-0000563,False,5.9,25,LOW,False
EVT-0000564,True,5.0,57,HIGH,False
EVT-0000565,False,5.64,44,MEDIUM,False
EVT-0000566,True,0.88,35,MEDIUM,False
EVT-0000567,False,3.33,45,MEDIUM,False
EVT-0000568,False,4.55,34,MEDIUM,False
EVT-0000569,False,6.05,43,MEDIUM,False
EVT-0000570,False,7.56,32,MEDIUM,False
EVT-0000571,False,1.2,21,LOW,False
EVT-0000572,False,5.28,31,MEDIUM,False
EVT-0000573,False,3.37,28,LOW,False
EVT-0000574,False,4.95,12,LOW,False
EVT-0000575,False,4.35,29,LOW,False
EVT-0000576,False,4.62,14,LOW,False
EVT-0000577,False,3.6,26,LOW,False
EVT-0000578,False,4.35,30,MEDIUM,False
EVT-0000579,False,1.94,29,LOW,False
EVT-0000580,False,4.28,23,LOW,False
EVT-0000581,False,6.4,42,MEDIUM,False
EVT-0000582,False,7.05,45,MEDIUM,False
EVT-0000583,False,2.97,49,MEDIUM,False
